id,rating,review_text,order_id,product_id,customer_id
REV20000,2,bad,ORD10000,PROD108,CUST2353
REV20001,2,bad,ORD10001,PROD103,CUST4463
REV20002,5,"very good",ORD10002,PROD111,CUST4512
REV20003,2,bad,ORD10003,PROD107,CUST5711
REV20004,1,"very bad",ORD10004,PROD105,CUST1296
REV20005,3,average,ORD10005,PROD108,CUST2790
REV20006,4,good,ORD10006,PROD106,CUST2442
REV20007,1,"very bad",ORD10007,PROD103,CUST2451
REV20008,3,average,ORD10008,PROD102,CUST2364
REV20009,5,"very good",ORD10009,PROD107,CUST4713
REV20010,2,bad,ORD10010,PROD107,CUST1469
REV20011,4,good,ORD10011,PROD113,CUST5953
REV20012,1,"very bad",ORD10012,PROD109,CUST1438
REV20013,1,"very bad",ORD10013,PROD100,CUST2488
REV20014,3,average,ORD10014,PROD112,CUST1413
REV20015,3,average,ORD10015,PROD105,CUST2160
REV20016,1,"very bad",ORD10016,PROD109,CUST3830
REV20017,2,bad,ORD10017,PROD113,CUST4174
REV20018,1,"very bad",ORD10018,PROD110,CUST3281
REV20019,4,good,ORD10019,PROD108,CUST3410
REV20020,4,good,ORD10020,PROD112,CUST3147
REV20021,1,"very bad",ORD10021,PROD112,CUST4051
REV20022,1,"very bad",ORD10022,PROD104,CUST1089
REV20023,1,"very bad",ORD10023,PROD109,CUST2314
REV20024,5,"very good",ORD10024,PROD100,CUST5205
REV20025,2,bad,ORD10025,PROD105,CUST2997
REV20026,4,good,ORD10026,PROD109,CUST2945
REV20027,4,good,ORD10027,PROD101,CUST3650
REV20028,2,bad,ORD10028,PROD108,CUST5755
REV20029,5,"very good",ORD10029,PROD102,CUST2895
REV20030,2,bad,ORD10030,PROD101,CUST3589
REV20031,4,good,ORD10031,PROD107,CUST5161
REV20032,1,"very bad",ORD10032,PROD105,CUST2370
REV20033,5,"very good",ORD10033,PROD109,CUST4430
REV20034,3,average,ORD10034,PROD101,CUST3021
REV20035,5,"very good",ORD10035,PROD113,CUST1182
REV20036,3,average,ORD10036,PROD102,CUST4791
REV20037,1,"very bad",ORD10037,PROD100,CUST3310
REV20038,2,bad,ORD10038,PROD100,CUST3661
REV20039,1,"very bad",ORD10039,PROD104,CUST1500
REV20040,2,bad,ORD10040,PROD103,CUST5684
REV20041,4,good,ORD10041,PROD109,CUST1186
REV20042,5,"very good",ORD10042,PROD106,CUST1241
REV20043,1,"very bad",ORD10043,PROD108,CUST4082
REV20044,2,bad,ORD10044,PROD103,CUST3728
REV20045,1,"very bad",ORD10045,PROD112,CUST1742
REV20046,4,good,ORD10046,PROD101,CUST3349
REV20047,1,"very bad",ORD10047,PROD112,CUST4751
REV20048,3,average,ORD10048,PROD110,CUST2954
REV20049,3,average,ORD10049,PROD103,CUST4905
REV20050,4,good,ORD10050,PROD107,CUST4613
REV20051,3,average,ORD10051,PROD108,CUST1209
REV20052,3,average,ORD10052,PROD108,CUST5685
REV20053,2,bad,ORD10053,PROD111,CUST2016
REV20054,3,average,ORD10054,PROD102,CUST5282
REV20055,3,average,ORD10055,PROD100,CUST5144
REV20056,3,average,ORD10056,PROD112,CUST2871
REV20057,3,average,ORD10057,PROD108,CUST4853
REV20058,2,bad,ORD10058,PROD105,CUST3810
REV20059,3,average,ORD10059,PROD100,CUST4294
REV20060,1,"very bad",ORD10060,PROD107,CUST3033
REV20061,5,"very good",ORD10061,PROD112,CUST3784
REV20062,5,"very good",ORD10062,PROD110,CUST2808
REV20063,1,"very bad",ORD10063,PROD114,CUST2357
REV20064,2,bad,ORD10064,PROD102,CUST2617
REV20065,5,"very good",ORD10065,PROD106,CUST4265
REV20066,1,"very bad",ORD10066,PROD105,CUST3414
REV20067,2,bad,ORD10067,PROD113,CUST3933
REV20068,1,"very bad",ORD10068,PROD113,CUST3963
REV20069,2,bad,ORD10069,PROD103,CUST3029
REV20070,2,bad,ORD10070,PROD105,CUST2383
REV20071,3,average,ORD10071,PROD113,CUST1138
REV20072,3,average,ORD10072,PROD106,CUST4400
REV20073,1,"very bad",ORD10073,PROD102,CUST1693
REV20074,4,good,ORD10074,PROD105,CUST1371
REV20075,1,"very bad",ORD10075,PROD112,CUST5445
REV20076,3,average,ORD10076,PROD105,CUST1539
REV20077,5,"very good",ORD10077,PROD103,CUST1892
REV20078,2,bad,ORD10078,PROD103,CUST5088
REV20079,4,good,ORD10079,PROD108,CUST3422
REV20080,5,"very good",ORD10080,PROD111,CUST2079
REV20081,4,good,ORD10081,PROD109,CUST1624
REV20082,3,average,ORD10082,PROD108,CUST4048
REV20083,1,"very bad",ORD10083,PROD104,CUST2089
REV20084,1,"very bad",ORD10084,PROD103,CUST4354
REV20085,1,"very bad",ORD10085,PROD101,CUST5300
REV20086,3,average,ORD10086,PROD109,CUST3660
REV20087,2,bad,ORD10087,PROD101,CUST5297
REV20088,3,average,ORD10088,PROD104,CUST4458
REV20089,5,"very good",ORD10089,PROD113,CUST2896
REV20090,5,"very good",ORD10090,PROD102,CUST3739
REV20091,5,"very good",ORD10091,PROD102,CUST1832
REV20092,2,bad,ORD10092,PROD114,CUST1647
REV20093,2,bad,ORD10093,PROD113,CUST1807
REV20094,2,bad,ORD10094,PROD104,CUST4296
REV20095,5,"very good",ORD10095,PROD105,CUST1254
REV20096,4,good,ORD10096,PROD114,CUST1033
REV20097,4,good,ORD10097,PROD103,CUST1698
REV20098,5,"very good",ORD10098,PROD101,CUST2386
REV20099,3,average,ORD10099,PROD110,CUST3511
REV20100,4,good,ORD10100,PROD107,CUST4247
REV20101,5,"very good",ORD10101,PROD107,CUST1711
REV20102,1,"very bad",ORD10102,PROD112,CUST4202
REV20103,1,"very bad",ORD10103,PROD111,CUST2644
REV20104,2,bad,ORD10104,PROD104,CUST4536
REV20105,2,bad,ORD10105,PROD108,CUST4165
REV20106,5,"very good",ORD10106,PROD114,CUST1925
REV20107,5,"very good",ORD10107,PROD103,CUST4417
REV20108,4,good,ORD10108,PROD114,CUST2226
REV20109,1,"very bad",ORD10109,PROD110,CUST3865
REV20110,2,bad,ORD10110,PROD101,CUST4945
REV20111,1,"very bad",ORD10111,PROD103,CUST2427
REV20112,5,"very good",ORD10112,PROD102,CUST4196
REV20113,2,bad,ORD10113,PROD103,CUST3804
REV20114,2,bad,ORD10114,PROD108,CUST4589
REV20115,2,bad,ORD10115,PROD114,CUST4582
REV20116,1,"very bad",ORD10116,PROD110,CUST5308
REV20117,1,"very bad",ORD10117,PROD112,CUST5920
REV20118,5,"very good",ORD10118,PROD101,CUST5795
REV20119,3,average,ORD10119,PROD113,CUST1585
REV20120,1,"very bad",ORD10120,PROD103,CUST4058
REV20121,5,"very good",ORD10121,PROD110,CUST1287
REV20122,1,"very bad",ORD10122,PROD104,CUST3404
REV20123,3,average,ORD10123,PROD101,CUST4226
REV20124,2,bad,ORD10124,PROD110,CUST5542
REV20125,5,"very good",ORD10125,PROD105,CUST4004
REV20126,2,bad,ORD10126,PROD102,CUST1197
REV20127,5,"very good",ORD10127,PROD100,CUST4677
REV20128,4,good,ORD10128,PROD100,CUST4076
REV20129,5,"very good",ORD10129,PROD100,CUST4734
REV20130,1,"very bad",ORD10130,PROD101,CUST2380
REV20131,4,good,ORD10131,PROD105,CUST2688
REV20132,5,"very good",ORD10132,PROD103,CUST4943
REV20133,4,good,ORD10133,PROD102,CUST1648
REV20134,4,good,ORD10134,PROD107,CUST1340
REV20135,5,"very good",ORD10135,PROD112,CUST4603
REV20136,5,"very good",ORD10136,PROD112,CUST4267
REV20137,1,"very bad",ORD10137,PROD108,CUST1974
REV20138,4,good,ORD10138,PROD100,CUST5305
REV20139,5,"very good",ORD10139,PROD111,CUST4964
REV20140,3,average,ORD10140,PROD108,CUST4916
REV20141,2,bad,ORD10141,PROD102,CUST2328
REV20142,4,good,ORD10142,PROD108,CUST1192
REV20143,4,good,ORD10143,PROD109,CUST5839
REV20144,3,average,ORD10144,PROD102,CUST4245
REV20145,2,bad,ORD10145,PROD105,CUST4244
REV20146,2,bad,ORD10146,PROD103,CUST4733
REV20147,2,bad,ORD10147,PROD112,CUST2820
REV20148,5,"very good",ORD10148,PROD101,CUST5014
REV20149,1,"very bad",ORD10149,PROD111,CUST1716
REV20150,1,"very bad",ORD10150,PROD106,CUST1987
REV20151,5,"very good",ORD10151,PROD111,CUST4033
REV20152,4,good,ORD10152,PROD110,CUST1292
REV20153,4,good,ORD10153,PROD109,CUST1200
REV20154,1,"very bad",ORD10154,PROD102,CUST5230
REV20155,3,average,ORD10155,PROD101,CUST5498
REV20156,4,good,ORD10156,PROD112,CUST3570
REV20157,2,bad,ORD10157,PROD114,CUST3430
REV20158,4,good,ORD10158,PROD107,CUST1422
REV20159,2,bad,ORD10159,PROD112,CUST3247
REV20160,4,good,ORD10160,PROD109,CUST1148
REV20161,3,average,ORD10161,PROD102,CUST4993
REV20162,4,good,ORD10162,PROD112,CUST5481
REV20163,1,"very bad",ORD10163,PROD106,CUST3163
REV20164,3,average,ORD10164,PROD109,CUST2223
REV20165,3,average,ORD10165,PROD106,CUST3450
REV20166,5,"very good",ORD10166,PROD101,CUST5229
REV20167,3,average,ORD10167,PROD107,CUST4120
REV20168,2,bad,ORD10168,PROD110,CUST3343
REV20169,3,average,ORD10169,PROD108,CUST5255
REV20170,5,"very good",ORD10170,PROD112,CUST1552
REV20171,3,average,ORD10171,PROD105,CUST5599
REV20172,3,average,ORD10172,PROD101,CUST3400
REV20173,2,bad,ORD10173,PROD106,CUST4387
REV20174,4,good,ORD10174,PROD108,CUST1562
REV20175,4,good,ORD10175,PROD110,CUST5652
REV20176,1,"very bad",ORD10176,PROD111,CUST5448
REV20177,3,average,ORD10177,PROD104,CUST5125
REV20178,5,"very good",ORD10178,PROD108,CUST4573
REV20179,2,bad,ORD10179,PROD103,CUST2946
REV20180,3,average,ORD10180,PROD113,CUST2644
REV20181,4,good,ORD10181,PROD102,CUST3372
REV20182,1,"very bad",ORD10182,PROD109,CUST5534
REV20183,4,good,ORD10183,PROD108,CUST5286
REV20184,4,good,ORD10184,PROD104,CUST4941
REV20185,4,good,ORD10185,PROD106,CUST5175
REV20186,4,good,ORD10186,PROD102,CUST2193
REV20187,4,good,ORD10187,PROD112,CUST2784
REV20188,4,good,ORD10188,PROD101,CUST3466
REV20189,4,good,ORD10189,PROD109,CUST4591
REV20190,4,good,ORD10190,PROD113,CUST3835
REV20191,5,"very good",ORD10191,PROD105,CUST2840
REV20192,2,bad,ORD10192,PROD102,CUST4438
REV20193,5,"very good",ORD10193,PROD100,CUST4442
REV20194,5,"very good",ORD10194,PROD111,CUST2982
REV20195,5,"very good",ORD10195,PROD105,CUST1710
REV20196,4,good,ORD10196,PROD112,CUST4662
REV20197,2,bad,ORD10197,PROD113,CUST5602
REV20198,2,bad,ORD10198,PROD104,CUST5363
REV20199,2,bad,ORD10199,PROD103,CUST5530
REV20200,2,bad,ORD10200,PROD107,CUST5616
REV20201,1,"very bad",ORD10201,PROD106,CUST4600
REV20202,2,bad,ORD10202,PROD107,CUST3934
REV20203,2,bad,ORD10203,PROD100,CUST4591
REV20204,2,bad,ORD10204,PROD108,CUST3190
REV20205,2,bad,ORD10205,PROD111,CUST3490
REV20206,5,"very good",ORD10206,PROD102,CUST1558
REV20207,4,good,ORD10207,PROD101,CUST5416
REV20208,1,"very bad",ORD10208,PROD111,CUST2812
REV20209,1,"very bad",ORD10209,PROD114,CUST3492
REV20210,4,good,ORD10210,PROD109,CUST2367
REV20211,4,good,ORD10211,PROD100,CUST2702
REV20212,5,"very good",ORD10212,PROD109,CUST5639
REV20213,1,"very bad",ORD10213,PROD109,CUST4161
REV20214,4,good,ORD10214,PROD112,CUST5048
REV20215,1,"very bad",ORD10215,PROD103,CUST1907
REV20216,3,average,ORD10216,PROD103,CUST3149
REV20217,4,good,ORD10217,PROD113,CUST4951
REV20218,4,good,ORD10218,PROD108,CUST3317
REV20219,3,average,ORD10219,PROD109,CUST1776
REV20220,5,"very good",ORD10220,PROD104,CUST2634
REV20221,2,bad,ORD10221,PROD111,CUST2081
REV20222,5,"very good",ORD10222,PROD104,CUST1379
REV20223,3,average,ORD10223,PROD109,CUST5727
REV20224,1,"very bad",ORD10224,PROD113,CUST1654
REV20225,2,bad,ORD10225,PROD106,CUST5054
REV20226,5,"very good",ORD10226,PROD110,CUST2263
REV20227,3,average,ORD10227,PROD106,CUST5922
REV20228,2,bad,ORD10228,PROD113,CUST5769
REV20229,1,"very bad",ORD10229,PROD105,CUST1948
REV20230,4,good,ORD10230,PROD113,CUST3153
